system_time,camera_time,pos_x_cm,pos_y_cm,pos_z_cm,roll_deg,pitch_deg,yaw_deg,detection_confidence
1742380383.2758436,8866.958912,-866.2783437094165,-904.8368277745816,5429.376326774858,157.18563876780692,-30.563351839740932,63.24374979590909,0.040967351719289
1742380383.3305998,8867.134913,-922.3770099240268,-867.8116919462601,6072.192249021719,-166.86960484364997,-23.360110767162915,61.29789205753878,0.04456690778230144
1742380383.3749933,8867.306962999999,-734.2778324138126,-920.0182056173603,6317.055301005083,174.67686209580017,-30.625780885541328,75.24965171139002,0.04606369147391899
1742380383.4156306,8867.478954,-588.4577626297084,-922.7207852702384,5884.761321707286,-169.89024894133135,-14.215319155898092,77.881694687021,0.042357903472506564
1742380383.529664,8867.650948,-520.0088333861245,-864.3283570687247,5657.952192000702,168.793441092509,0.014320086371893349,77.41705542841522,0.040575248377204436
1742380383.7037153,8867.822970000001,-533.9128715012856,-832.4031230458293,5656.554251468661,-175.49432246126074,-19.139073109106647,78.5638962672291,0.04057098134187394
1742380383.8816547,8867.998925,-564.136874163456,-830.2152660449902,5697.1102992421465,167.3323489812609,-17.699035516762322,79.40521547452157,0.04080060986751444
1742380384.0570364,8868.170962,-556.289627488497,-843.3093716819017,5789.458988648364,179.40633671270948,-22.0137849066716,79.32269838230111,0.041505084984061774
1742380384.226181,8868.342961999999,-536.2310828038494,-793.9825771426882,5477.676091353399,-166.7339648033793,-14.656046679530736,78.86913133802389,0.03978766877324289
1742380384.4029355,8868.518913,-526.1115741416522,-808.7665416010904,5591.693940656145,179.79637622091866,-21.689394526151744,77.88248555360987,0.040106919554372324
1742380384.5699863,8868.690914,-484.4278123210079,-804.4715139701916,5467.99561672378,169.55115135269293,-18.686496764579747,70.89907753649842,0.03921716762390511
1742380384.7448833,8868.862943,-392.9155133939287,-744.3207988770058,5243.67645699926,-175.7141644880308,-24.168806169475847,50.82306790893754,0.03782691212274584
1742380384.9227264,8869.038922,-283.96723574029454,-639.4404672096326,4817.566559027895,158.48912291061475,-22.97546347087664,37.398706422231406,0.036494648779169324
1742380385.0930743,8869.210937000002,-230.5883040401735,-589.6991622007591,4798.678900896563,177.28326028631537,-31.942462142591634,24.539868566355214,0.03591802911215012
1742380385.2597194,8869.382948999999,-173.52984367419054,-515.6567764851735,4699.286187494853,176.518472113015,-33.135168282354854,18.017221626435806,0.03556434437872424
1742380385.4310608,8869.554955,-174.65844978238107,-440.7641422147598,4526.224882686001,177.44316934935054,-36.28352568752215,16.26498537697798,0.03467936857101526
1742380385.6155212,8869.730922,-172.81409044845148,-452.35188939647173,4562.850810958704,176.9841273994092,-31.19100061634404,10.204268244587764,0.03432461484746736
1742380385.7852821,8869.902917,-149.60530593288956,-521.6704383205039,4498.580746824219,179.14310051924434,-29.64211389866174,0.2564559351755206,0.03386396051926014
1742380385.9639456,8870.074963,-230.21770927526478,-514.8615359327247,4306.7124507756425,-179.13200779853167,-23.994202860047377,-12.10654343800027,0.03184953505175318
1742380386.130565,8870.250911000001,-301.57447796145397,-467.9365019257432,4010.597020537268,-176.90568216196888,-13.933631799859143,-8.098455786935387,0.028853105987153772
1742380386.3111835,8870.422909,-265.82683607282087,-316.5827626548475,3517.223998168408,-163.03468873801245,15.435494554233228,-5.891828489078627,0.025995417205006744
1742380386.4746308,8870.594948,-121.19004612691977,-268.8974109454272,2976.4499766027843,169.41510481692993,-21.86290970736899,-9.616140714391046,0.022373355714882415
1742380386.6541193,8870.77091,17.620750069428905,-275.61674610528723,2725.0083239623095,174.28916987198068,-22.290652392584835,-10.377012076123261,0.02054670938661633
1742380386.822977,8870.942924,97.19161093756085,-277.77958997777324,2560.7212059938065,172.32448430734428,-20.386468100438286,-10.325727741328063,0.019441158649863503
1742380386.9931374,8871.114909,141.7066936109159,-302.0383614730481,2515.198431262138,-162.70116149295157,27.663308754513473,-4.434182801818381,0.019045244370281444
1742380387.1739197,8871.286968,148.88557630470154,-295.40739666074984,2479.7236563389765,-179.86629479298867,-20.19325141962702,-10.057621625207636,0.01875766262510821
1742380387.3412902,8871.462909,157.95581091777456,-294.6599591729398,2498.9319001126732,179.0613379648081,-18.571432412840696,-8.602570782930195,0.018818378356338008
1742380387.5134861,8871.635024000001,185.0392614638823,-324.37033571378106,2643.522497453779,176.14749791128258,-12.050341998769724,-6.009924492885345,0.01962922932900869
1742380387.7007942,8871.806953,264.43578695809185,-318.5714495236634,2835.438246424815,178.0672672027994,-17.005065016413756,-3.3865468815241275,0.021331661589346473
1742380387.8622842,8871.982901000001,241.22149741463957,-383.3867176936622,3213.1797237932515,-179.26773733777836,-13.397436155115068,-1.6270561286203433,0.02369272199680306
1742380388.0253563,8872.154909,117.34609215602151,-459.0185701982389,3490.693663875201,179.4573279070819,-14.310661057314586,-2.7114002847177012,0.025620243495128817
1742380388.2095404,8872.326998999999,-3.3124300228970878,-558.8170443222909,3810.497456354336,174.96415875339542,-14.528665948850797,0.1672531278475144,0.028049040024643916
1742380388.3880289,8872.502912,-92.9536406075586,-623.5900550039246,3992.3210073169876,173.13977033030957,-20.471902564826518,-3.2254255370175713,0.029946651130379153
1742380388.56185,8872.674912,-193.76899080256936,-725.7813573294042,4344.415233926702,175.18888573645998,-18.519017054809925,-2.205081231229506,0.03219425412440371
1742380388.7369797,8872.846921,-289.0497486616567,-785.2383348426116,4531.587951767592,170.2022635510946,-10.56719126416382,-2.0414948337999888,0.033507836270944315
1742380388.9007082,8873.018944,-277.9986441753505,-857.8675110868287,4910.986861650528,177.40709592853807,-10.505152813831891,-6.753614856443993,0.03568118839656312
1742380389.072557,8873.194904,-202.10434164261352,-853.5357065948327,5116.255407694151,-155.2238579482471,-2.2693913668856625,-10.352554553458242,0.03701011303484649
1742380389.7700913,8873.887073999998,270.73552605265627,-623.7155690842138,5888.0161015444855,153.44593346732225,35.61656567721342,-11.149016189838303,0.04787984158651655
1742380390.2861428,8874.406957000001,364.4811043504627,-477.2088597795471,6012.3798091329445,154.81607020337808,35.493608961256044,-8.008777450712172,0.048028285212647515
1742380390.464727,8874.578912,369.33504730111264,-453.68485917580773,5879.110826022393,161.42788723400434,36.83076636859451,-0.21389331078737897,0.04630987198379409
1742380390.8085063,8874.926908,367.02067645157973,-303.28559517474076,5391.1108802142135,-175.88141102930825,-8.835600322269602,-0.703970073722068,0.03830360881878406
1742380390.976295,8875.098972,137.73821822006153,-285.92281881965323,5027.599427174781,-172.42118196234085,-14.207619523393664,-4.863845948865794,0.03603203137408201
1742380391.15536,8875.270907,-41.15800437506971,-369.5645375138223,4773.06910605906,-173.77630303026513,-1.8633736380632346,-5.106864253378258,0.03361835959682181
1742380391.32742,8875.446963,-147.28282227415696,-372.40144441967584,4157.934210291211,-178.0107290432906,-21.2460645856915,-8.670556197672967,0.03036823031589127
1742380391.495552,8875.619058,-202.3969681874042,-337.0058589836481,3888.434120846408,-176.92579125429586,-24.55447888195442,-11.099239840216129,0.02866270835608963
1742380391.6662388,8875.790919,-270.38094871471554,-256.22590438243463,3544.9995224336703,-176.5859809695922,-27.426106290780872,-13.256892327226696,0.026319438246096345
1742380391.842679,8875.966917,-273.74997661628214,-180.46527127722786,3316.4684449901606,-177.1504125516621,-30.61999649281871,-14.341317463877603,0.02488710120865884
1742380392.0160644,8876.138958000001,-238.1865058000908,-112.5720131580294,2998.138780422801,-176.48957875009148,-33.916659624550874,-17.097530616954067,0.022835404144945025
1742380392.1893792,8876.310958,-205.326549852278,-81.69074090243875,2889.154412312746,179.07085632855282,-31.922345044740613,-12.574629439748342,0.021854242579558265
1742380393.2299953,8877.350956,10.028764963648038,-201.23196398739003,2555.629899921173,177.53572990607105,-30.63267177662854,-14.748850820195424,0.019763907316273633
1742380393.4067602,8877.522964,18.017658553840565,-205.20996912602038,2535.551437552837,177.65154299634798,-28.464072836214857,-12.043269963448758,0.019432886251817126
1742380393.5742166,8877.698902,38.70890514142704,-185.4264858396457,2429.5457955028714,175.31304969301735,-25.635700226509456,-9.012263373007967,0.01848742008583042
