timestamp,roll,pitch,yaw,touch_gesture,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1744720005.6643293,0.0,0.0,0.0,,1,-0.02,-0.852,0.03333333333333333,0.0,-0.0
1744720006.2770917,0.0,-94.0,313.0,,1,-0.029,-0.852,0.03333333333333333,0.0,-0.0
1744720006.7066746,0.0,-94.0,313.0,,1,-0.02,-0.852,0.03333333333333333,0.0,-0.0
1744720007.1490197,0.0,-94.0,313.0,,1,-0.01,-0.852,0.03333333333333333,0.0,-0.0
1744720007.568191,0.0,-94.0,313.0,,1,-0.02,-0.842,0.03333333333333333,0.0,-0.0
1744720007.9670255,0.0,-94.0,313.0,,1,-0.02,-0.862,0.03333333333333333,0.0,-0.0
1744720008.3159122,0.0,-94.0,313.0,,1,-0.01,-0.862,0.03333333333333333,0.0,-0.0
1744720008.6916063,1.0,-96.0,312.0,,1,0.734,-1.696,0.03333333333333333,0.03333333333333333,-0.03333333333333333
1744720009.1006463,3.0,-82.0,305.0,,1,-2.069,-0.666,-0.7333333333333333,-0.7666666666666667,-1.1333333333333333
1744720009.5224683,-1.0,-86.0,309.0,,1,-1.471,2.834,-0.03333333333333333,-0.1,0.1
1744720009.8714645,5.0,-88.0,307.0,,1,0.146,1.569,0.1,0.1,-0.03333333333333333
1744720010.2268806,3.0,-89.0,306.0,,1,-0.628,0.843,0.03333333333333333,0.1,-0.03333333333333333
1744720010.575274,1.0,-88.0,306.0,,1,-0.431,0.785,0.03333333333333333,0.03333333333333333,-0.0
1744720010.921924,3.0,-88.0,304.0,,1,0.744,0.353,0.13333333333333333,0.16666666666666666,0.9666666666666667
1744720011.2819953,31.0,-91.0,300.0,,1,5.53,-0.362,0.23333333333333334,0.23333333333333334,1.2666666666666666
1744720011.656783,40.0,-97.0,300.0,,1,6.697,-1.372,-0.2,0.5666666666666667,-0.23333333333333334
1744720012.021624,29.0,-124.0,299.0,,1,5.569,-4.892,0.06666666666666667,1.7333333333333334,-0.43333333333333335
1744720012.4112008,7.0,-131.0,305.0,,1,0.833,-6.903,-2.2333333333333334,-1.1,-1.4666666666666666
1744720012.7882264,-8.0,-112.0,314.0,,1,-2.344,-3.588,-0.8333333333333334,-1.0666666666666667,-0.5666666666666667
1744720013.1682594,-20.0,-84.0,328.0,,1,-4.06,2.236,-0.3333333333333333,-1.2666666666666666,-0.0
1744720013.5457861,11.0,-74.0,312.0,,1,0.45,4.217,0.5333333333333333,0.9,4.1
1744720013.9356468,50.0,-85.0,294.0,,1,6.785,1.226,0.03333333333333333,1.6666666666666667,1.1
1744720014.265524,59.0,-111.0,289.0,,1,8.354,-1.548,0.36666666666666664,0.16666666666666666,0.4666666666666667
1744720014.6033325,53.0,-106.0,292.0,,1,8.217,-1.99,-0.4666666666666667,-0.36666666666666664,-0.5666666666666667
1744720014.9298875,40.0,-111.0,299.0,,1,6.285,-3.216,-1.3,0.4,-1.6
1744720015.2660847,0.0,-117.0,312.0,,1,-0.451,-4.902,-1.3666666666666667,-0.36666666666666664,-1.1666666666666667
1744720015.6081357,-33.0,-94.0,339.0,,1,-5.727,0.922,-2.8666666666666667,-2.033333333333333,-0.9
1744720015.952628,-19.0,-31.0,9.0,,1,-2.707,9.375,-1.8666666666666667,-2.933333333333333,-0.8
1744720016.3533857,-16.0,7.0,36.0,,1,-0.618,9.15,-0.2,-0.3333333333333333,-0.13333333333333333
1744720016.7830176,-10.0,15.0,39.0,,1,0.068,8.679,-0.03333333333333333,-0.2,-0.2
1744720017.1630945,-6.0,20.0,40.0,,1,0.028,8.904,0.0,0.06666666666666667,0.03333333333333333
1744720017.5103126,-2.0,23.0,39.0,,1,-0.147,8.953,0.03333333333333333,0.0,-0.0
1744720017.858705,-8.0,10.0,33.0,,1,-0.99,9.914,0.7666666666666667,2.966666666666667,1.9666666666666666
1744720018.197561,6.0,-103.0,342.0,,1,1.774,0.961,1.3666666666666667,3.7,2.3333333333333335
1744720018.5486479,17.0,-118.0,337.0,,1,3.686,-2.215,0.03333333333333333,-0.03333333333333333,-0.03333333333333333
