timestamp,roll,pitch,yaw,touch_gesture,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1743694410.8504124,,,,,,,,,,
1743694410.870654,,,,,,,,,,
1743694410.8909068,,,,,,,,,,
1743694410.9110613,,,,,,,,,,
1743694410.9312325,,,,,,,,,,
1743694410.9513624,,,,,,,,,,
1743694410.971475,,,,,,,,,,
1743694410.9927335,,,,,,,,,,
1743694411.0128736,,,,,,,,,,
1743694411.0330358,,,,,,,,,,
1743694411.0532467,,,,,,,,,,
1743694411.0735862,,,,,,,,,,
1743694411.0938063,,,,,,,,,,
1743694411.1139426,,,,,,,,,,
1743694411.1340833,,,,,,,,,,
1743694411.154798,,,,,,,,,,
1743694411.1752133,0.0,0.0,0.0,,0.019,0.156,9.914,0.03333333333333333,0.0,-0.0
1743694411.1953862,0.0,0.0,0.0,,0.019,0.156,9.914,0.03333333333333333,0.0,-0.0
1743694411.215584,0.0,0.0,0.0,,0.019,0.156,9.914,0.03333333333333333,0.0,-0.0
1743694411.2358344,0.0,0.0,0.0,,0.019,0.156,9.914,0.03333333333333333,0.0,-0.0
1743694411.2559986,0.0,0.0,0.0,,0.009,0.146,9.914,0.03333333333333333,0.0,-0.0
1743694411.276225,0.0,0.0,0.0,,0.009,0.166,9.934,0.03333333333333333,0.0,-0.0
1743694411.2963943,0.0,0.0,0.0,,0.009,0.146,9.914,0.03333333333333333,0.0,-0.0
1743694411.3165874,0.0,0.0,0.0,,0.019,0.146,9.914,0.03333333333333333,0.0,-0.0
1743694411.3376327,0.0,0.0,0.0,,0.019,0.146,9.914,0.03333333333333333,0.0,-0.0
1743694411.3577938,1.0,0.0,287.0,,0.009,0.146,9.914,0.03333333333333333,0.0,-0.0
1743694411.377975,1.0,0.0,287.0,,0.019,0.156,9.924,0.03333333333333333,0.0,-0.0
1743694411.3981261,1.0,0.0,287.0,,0.019,0.156,9.924,0.03333333333333333,0.0,-0.0
1743694411.4185624,1.0,0.0,287.0,,0.019,0.156,9.924,0.03333333333333333,0.0,-0.0
1743694411.438761,1.0,0.0,287.0,,0.019,0.146,9.924,0.03333333333333333,0.0,-0.0
1743694411.4588826,1.0,0.0,287.0,,0.019,0.156,9.914,0.03333333333333333,0.0,-0.0
1743694411.4804258,1.0,0.0,287.0,,0.019,0.146,9.914,0.03333333333333333,0.0,-0.0
1743694411.500586,1.0,0.0,287.0,,0.019,0.156,9.924,0.03333333333333333,0.0,-0.0
1743694411.5207553,1.0,0.0,287.0,,0.019,0.146,9.914,0.03333333333333333,0.0,-0.0
1743694411.5409443,1.0,0.0,287.0,,0.019,0.156,9.914,0.03333333333333333,0.0,-0.0
1743694411.5610938,1.0,0.0,287.0,,0.019,0.146,9.914,0.03333333333333333,0.0,-0.0
1743694411.5812445,1.0,0.0,287.0,,0.019,0.146,9.914,0.03333333333333333,0.0,-0.0
1743694411.6018288,1.0,0.0,287.0,,0.019,0.156,9.924,0.03333333333333333,0.0,-0.0
1743694411.6237621,1.0,0.0,287.0,,0.019,0.146,9.924,0.03333333333333333,0.0,-0.0
1743694411.6439302,1.0,0.0,287.0,,0.009,0.156,9.914,0.03333333333333333,0.0,-0.0
1743694411.6640987,1.0,0.0,287.0,,0.019,0.146,9.934,0.03333333333333333,0.0,-0.0
1743694411.684294,1.0,0.0,287.0,,0.009,0.156,9.914,0.03333333333333333,0.0,-0.0
1743694411.7044623,1.0,0.0,287.0,,0.019,0.146,9.914,0.03333333333333333,0.0,-0.0
1743694411.7246513,1.0,0.0,287.0,,0.019,0.146,9.914,0.03333333333333333,0.0,-0.0
1743694411.7451668,1.0,0.0,287.0,,0.009,0.146,9.924,0.03333333333333333,0.0,-0.0
1743694411.765335,1.0,0.0,287.0,,0.019,0.156,9.924,0.03333333333333333,0.0,-0.0
1743694411.7854893,1.0,0.0,287.0,,0.009,0.146,9.914,0.03333333333333333,0.0,-0.0
1743694411.8056614,1.0,0.0,287.0,,0.019,0.146,9.924,0.03333333333333333,0.0,-0.0
1743694411.8259346,1.0,0.0,287.0,,0.019,0.156,9.914,0.03333333333333333,0.0,-0.0
1743694411.8462012,1.0,0.0,287.0,,0.019,0.156,9.924,0.03333333333333333,0.0,-0.0
1743694411.8663456,1.0,0.0,287.0,,0.019,0.156,9.924,0.03333333333333333,0.0,-0.0
1743694411.8865168,1.0,0.0,287.0,,0.009,0.156,9.914,0.03333333333333333,0.0,-0.0
1743694411.9068022,1.0,0.0,287.0,,0.019,0.146,9.914,0.03333333333333333,0.0,-0.0
1743694411.927315,1.0,0.0,287.0,,0.019,0.146,9.914,0.03333333333333333,0.0,-0.0
1743694411.947475,1.0,0.0,287.0,,0.028,0.136,9.914,0.03333333333333333,0.0,-0.0
