timestamp,roll,pitch,yaw,touch_gesture,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1743695687.7778206,,,,,,,,,,
1743695688.2007987,,,,,,,,,,
1743695688.5025976,0.0,0.0,0.0,,-0.177,0.028,9.944,0.03333333333333333,0.0,-0.0
1743695688.831286,0.0,1.0,265.0,,-0.186,0.038,9.944,0.03333333333333333,0.0,-0.0
1743695689.1048138,0.0,1.0,265.0,,-0.177,0.028,9.934,0.03333333333333333,0.0,-0.0
1743695689.4119294,0.0,1.0,265.0,,-0.177,0.038,9.934,0.03333333333333333,0.0,-0.0
1743695689.677562,0.0,1.0,265.0,,-0.137,0.019,9.954,0.03333333333333333,-0.03333333333333333,-0.0
1743695689.9060392,0.0,1.0,265.0,,-0.167,0.028,9.934,0.03333333333333333,0.0,-0.0
1743695690.124687,0.0,1.0,265.0,,-0.167,0.038,9.934,0.03333333333333333,0.0,-0.0
1743695690.3609817,0.0,-2.0,273.0,,1.382,-0.127,10.493,0.3,2.3333333333333335,0.4666666666666667
1743695690.5652268,0.0,-11.0,257.0,,2.853,-0.157,10.817,-1.4333333333333333,-0.36666666666666664,0.5333333333333333
1743695690.8301241,4.0,0.0,253.0,,0.587,-0.461,8.816,-1.7333333333333334,-0.8333333333333334,0.7
1743695691.100879,5.0,-1.0,251.0,,1.186,0.274,9.542,-0.8,-0.06666666666666667,0.23333333333333334
1743695691.380151,9.0,-1.0,250.0,,2.284,1.156,11.219,-1.5,1.5333333333333334,0.8666666666666667
1743695691.6100569,38.0,-91.0,268.0,,5.304,12.228,-9.07,-2.533333333333333,-4.9,-1.2
1743695691.9415412,50.0,-111.0,260.0,,3.392,6.697,-2.343,0.9333333333333333,-0.5666666666666667,0.3333333333333333
1743695692.252311,47.0,-54.0,245.0,,7.658,6.432,4.315,0.6666666666666666,-0.6,-0.26666666666666666
1743695692.5723352,44.0,-48.0,241.0,,6.491,6.481,2.981,0.0,-0.06666666666666667,-0.03333333333333333
1743695692.8789146,42.0,-38.0,241.0,,6.913,6.04,2.383,0.16666666666666666,-0.23333333333333334,-0.0
1743695693.189689,33.0,-36.0,240.0,,8.08,5.255,3.334,0.7666666666666667,0.3,-0.6
1743695693.4973576,29.0,-35.0,240.0,,8.188,4.196,3.511,0.0,0.5666666666666667,0.23333333333333334
1743695693.8403642,27.0,-32.0,252.0,,7.423,3.441,4.423,0.0,-1.6333333333333333,-0.23333333333333334
1743695694.121912,32.0,-9.0,260.0,,5.618,2.804,6.727,0.23333333333333334,-2.8,-0.6
1743695694.342529,28.0,15.0,268.0,,2.058,1.597,9.081,0.3333333333333333,-1.4666666666666666,-0.6333333333333333
1743695694.5534844,7.0,23.0,284.0,,-1.304,-2.756,10.699,4.2,-0.2,-0.5
1743695694.771803,-12.0,19.0,288.0,,0.225,-5.394,7.953,0.8666666666666667,1.4,0.8333333333333334
1743695694.9917197,-18.0,-9.0,264.0,,4.775,-3.923,8.022,0.8333333333333334,3.2,3.533333333333333
1743695695.210542,11.0,-48.0,238.0,,8.825,0.489,1.814,-2.1,3.1,2.1
1743695695.4353719,37.0,-89.0,258.0,,8.384,2.97,-5.246,-1.9,0.3333333333333333,1.0333333333333334
1743695695.6518888,49.0,-89.0,288.0,,8.835,3.833,-2.892,-0.8,-3.6333333333333333,1.3
1743695695.8777282,57.0,-51.0,292.0,,6.766,5.755,3.011,0.5333333333333333,-3.2,0.36666666666666664
1743695696.1072147,45.0,-4.0,279.0,,3.529,4.657,8.385,1.1,-2.2,0.7333333333333333
1743695696.33284,28.0,17.0,274.0,,-0.863,1.48,9.532,0.9333333333333333,-0.26666666666666666,0.4
1743695696.5627406,20.0,13.0,271.0,,-0.588,1.146,10.081,-0.1,0.4666666666666667,0.16666666666666666
1743695696.7903843,21.0,9.0,269.0,,-0.294,1.45,9.865,-0.03333333333333333,0.1,0.06666666666666667
1743695697.035617,18.0,6.0,270.0,,-0.127,1.558,9.552,0.06666666666666667,0.0,-0.03333333333333333
1743695697.2764788,14.0,4.0,272.0,,-0.029,1.441,9.61,0.03333333333333333,0.06666666666666667,-0.03333333333333333
1743695697.5138597,11.0,2.0,272.0,,-0.304,1.401,9.865,0.1,0.0,-0.0
1743695697.7568226,10.0,2.0,272.0,,-0.245,1.696,9.738,0.03333333333333333,0.0,-0.0
1743695697.9977686,9.0,2.0,272.0,,-0.275,1.529,9.758,0.03333333333333333,-0.06666666666666667,-0.0
1743695698.2434247,9.0,1.0,272.0,,-0.177,1.264,9.777,0.06666666666666667,-0.03333333333333333,-0.03333333333333333
1743695698.4883485,8.0,1.0,272.0,,-0.098,1.303,9.905,0.03333333333333333,0.0,-0.03333333333333333
1743695698.704802,8.0,1.0,272.0,,-0.177,1.362,9.846,0.06666666666666667,0.0,-0.03333333333333333
1743695698.9261434,8.0,2.0,272.0,,-0.177,1.323,9.944,0.06666666666666667,0.0,-0.03333333333333333
1743695699.1425557,8.0,1.0,272.0,,-0.363,1.49,9.816,0.1,0.0,-0.0
1743695699.3618097,8.0,1.0,272.0,,-0.324,1.558,9.826,0.06666666666666667,-0.06666666666666667,-0.0
1743695699.590815,8.0,1.0,272.0,,-0.363,1.568,9.709,0.0,-0.03333333333333333,-0.0
1743695699.8123038,8.0,1.0,272.0,,-0.412,1.509,9.709,0.03333333333333333,-0.06666666666666667,-0.0
1743695700.0383458,8.0,2.0,272.0,,-0.235,1.225,9.856,0.03333333333333333,0.0,-0.0
1743695700.2644076,8.0,2.0,272.0,,-0.186,1.244,9.836,0.06666666666666667,0.0,-0.0
1743695700.492797,8.0,2.0,272.0,,-0.235,1.284,9.807,0.06666666666666667,0.0,-0.0
1743695700.723407,8.0,2.0,272.0,,-0.02,1.186,10.091,0.1,0.0,-0.1
1743695700.953726,8.0,1.0,272.0,,-0.127,1.411,9.895,0.06666666666666667,0.0,-0.0
1743695701.1801553,11.0,0.0,276.0,,0.342,2.058,10.169,-0.4666666666666667,0.3,0.1
1743695701.4070957,55.0,-6.0,274.0,,0.421,7.501,5.962,-4.6,-0.03333333333333333,1.0666666666666667
