timestamp,roll,pitch,yaw,touch_gesture,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1744720699.6949172,,,,,,,,,,
1744720700.9241817,0.0,-94.0,308.0,,9.835,-0.118,-0.862,0.03333333333333333,0.0,-0.0
1744720701.5726545,0.0,-94.0,307.0,,9.835,-0.127,-0.862,0.03333333333333333,0.0,-0.0
1744720702.2133057,0.0,-94.0,307.0,,9.835,-0.118,-0.872,0.03333333333333333,0.0,-0.0
1744720702.653027,0.0,-94.0,307.0,,9.835,-0.098,-0.862,0.03333333333333333,0.0,-0.0
1744720703.2621927,0.0,-94.0,307.0,,9.835,-0.118,-0.872,0.03333333333333333,0.0,-0.0
1744720703.8210156,0.0,-94.0,307.0,,9.835,-0.118,-0.862,0.03333333333333333,0.0,-0.0
1744720704.2327256,0.0,-94.0,307.0,,9.835,-0.118,-0.872,0.03333333333333333,0.0,-0.0
1744720704.6388526,0.0,-94.0,307.0,,9.835,-0.118,-0.852,0.03333333333333333,0.0,-0.0
1744720705.0529068,0.0,-95.0,304.0,,9.178,-0.177,-0.852,0.26666666666666666,-0.03333333333333333,0.23333333333333334
1744720705.4131224,1.0,-96.0,299.0,,10.345,-0.333,-0.999,0.06666666666666667,0.13333333333333333,-0.0
1744720705.780466,5.0,-110.0,297.0,,8.766,0.666,-2.764,0.03333333333333333,-0.3333333333333333,0.3333333333333333
1744720706.160627,4.0,-103.0,300.0,,10.345,-0.127,-2.47,-0.1,-0.9,-0.2
1744720706.5879538,0.0,-94.0,310.0,,9.443,0.499,0.118,-0.8333333333333334,0.5333333333333333,0.2
1744720707.073751,-3.0,-105.0,318.0,,9.315,-1.451,-0.548,0.1,-0.3333333333333333,-0.3
1744720707.5369158,-1.0,-107.0,322.0,,10.051,0.568,-1.068,-0.36666666666666664,0.0,0.26666666666666666
1744720707.9640725,-2.0,-106.0,332.0,,9.639,-0.167,-1.225,-0.6666666666666666,-0.06666666666666667,0.03333333333333333
1744720708.3853698,-10.0,-103.0,355.0,,10.678,-0.098,-1.068,-4.2,0.06666666666666667,0.16666666666666666
1744720708.7844837,-17.0,-82.0,87.0,,9.531,1.676,-1.872,-2.1666666666666665,-0.6333333333333333,0.9333333333333333
1744720709.1986046,-16.0,-73.0,119.0,,10.345,-0.088,0.853,-0.36666666666666664,0.0,-0.1
