timestamp,roll,pitch,yaw,touch_gesture,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1743695558.5485141,,,,,,,,0.0,0.0,0.0,,,
1743695559.0678608,3.0,4.0,262.0,,0.44,-0.108,10.022,-0.24431100742986928,0.4041650758273728,0.24930818145721645,0.4,-0.16666666666666666,-0.0
1743695559.3713145,-1.0,6.0,258.0,,0.176,-0.265,10.179,-0.8494242246556807,-0.4352702112249851,0.42422613205930304,-0.03333333333333333,0.0,0.03333333333333333
1743695559.6819673,0.0,1.0,262.0,,-0.147,0.293,10.062,-0.31820810714975123,0.293,0.25349411051580084,-0.13333333333333333,0.06666666666666667,0.23333333333333334
1743695560.0032535,-2.0,-4.0,258.0,,2.205,-0.441,8.865,2.8893110074298693,-0.782530081002073,-0.9151419033100456,1.2,-0.23333333333333334,0.9333333333333333
1743695560.3417125,-1.0,-1.0,240.0,,-1.638,-1.285,10.248,-1.4667918928502486,-1.4561820313257672,0.44098799347133344,-0.16666666666666666,0.8,1.0333333333333334
1743695560.6195679,2.0,-3.0,238.0,,1.048,-0.961,8.924,1.561415730743279,-0.6191051353976122,-0.8665879388821107,0.6,0.3333333333333333,0.03333333333333333
1743695560.8946888,-5.0,-6.0,234.0,,2.725,-0.981,8.473,3.7504242246556805,-1.8313140687470766,-1.246134279552889,0.6,-0.5333333333333333,0.6
1743695561.1689744,-11.0,-4.0,242.0,,2.362,1.627,7.375,3.0463110074298694,-0.24027654563011258,-2.2313050517485653,-0.9666666666666667,0.4,0.1
1743695561.4872062,-3.0,-3.0,249.0,,2.559,-1.059,8.698,3.072415730743279,-1.5717121123278401,-1.08512989678138,0.43333333333333335,-0.9666666666666667,1.1666666666666667
1743695561.823925,-4.0,-6.0,254.0,,2.823,0.234,9.983,3.8484242246556803,-0.4465622801305261,0.2505059649464556,0.13333333333333333,0.36666666666666664,0.2
1743695562.1641052,5.0,1.0,249.0,,2.882,1.48,9.101,2.710791892850249,2.334867616042775,-0.6701815633058175,-0.9,0.16666666666666666,0.4666666666666667
1743695562.4460964,11.0,2.0,238.0,,1.401,2.637,8.424,1.0586359373484655,4.50769597257899,-1.1998964783907304,0.2,-0.3333333333333333,0.1
1743695562.7282345,5.0,8.0,236.0,,1.803,1.764,9.11,0.43771187958175783,2.6106770561850183,-0.567563035742765,0.4,-0.2,-0.3333333333333333
1743695563.012566,0.0,8.0,239.0,,1.656,0.98,9.816,0.2907118795817578,0.98,0.10147024564519569,0.13333333333333333,0.13333333333333333,0.2
1743695563.3061528,1.0,1.0,244.0,,1.931,1.293,9.669,1.7597918928502487,1.4641820313257672,-0.1380120065286654,0.06666666666666667,0.03333333333333333,0.1
1743695563.597836,4.0,-5.0,244.0,,1.892,1.343,9.748,2.7469978363545264,2.0247069974474567,-0.0008642553612503434,0.0,0.26666666666666666,0.43333333333333335
1743695563.8991091,5.0,-5.0,252.0,,2.215,1.382,9.473,3.0699978363545264,2.2337443114562934,-0.26248202852488056,0.0,0.0,-0.0
1743695564.1926336,6.0,-9.0,253.0,,2.049,1.333,9.66,3.583622102044665,2.345799550856225,0.02385595408093444,0.1,0.0,0.03333333333333333
1743695564.4801435,6.0,-10.0,253.0,,2.137,1.166,9.571,3.840488622912587,2.1758457265674465,-0.03704028510189339,0.03333333333333333,-0.03333333333333333,-0.0
1743695564.767803,7.0,-11.0,253.0,,2.186,1.166,9.748,4.057836244643904,2.3395728536941824,0.19001612104783305,0.06666666666666667,0.0,-0.0
1743695565.0677805,7.0,-11.0,252.0,,2.058,1.215,9.581,3.929836244643904,2.388572853694183,0.023016121047833238,0.0,-0.03333333333333333,-0.0
1743695565.330463,7.0,-11.0,252.0,,2.176,1.225,9.699,4.0478362446439045,2.3985728536941826,0.14101612104783356,0.03333333333333333,0.0,0.03333333333333333
1743695565.5892305,9.0,-12.0,252.0,,2.48,1.803,9.63,4.519613686922219,3.3040869271480586,0.1525101400600395,-0.1,0.3,0.43333333333333335
1743695565.8611016,14.0,-14.0,259.0,,2.902,2.627,9.15,5.275253795832741,4.929758015464794,-0.08585794297303728,-0.4,0.06666666666666667,0.3
1743695566.1327884,25.0,-14.0,261.0,,2.715,4.677,8.189,5.08825379583274,8.699734640421404,-0.4377822757572343,-0.8666666666666667,0.2,0.3
1743695566.407171,36.0,-23.0,265.0,,3.824,6.481,6.1,7.657072370479776,11.78879053150052,-1.2055469252053959,-0.36666666666666664,0.5666666666666667,0.06666666666666667
1743695566.6752105,37.0,-28.0,269.0,,4.334,6.903,5.521,8.939516030929589,12.1157507464371,-1.3965538844572816,-0.2,0.23333333333333334,-0.0
1743695566.946467,41.0,-34.0,275.0,,4.539,7.217,4.786,10.024682383048027,12.552635307350128,-1.3519462900285495,-0.3,0.13333333333333333,-0.0
1743695567.218701,45.0,-36.0,280.0,,4.324,7.481,4.374,10.090173324989163,13.092922361641483,-1.237922361641484,-0.06666666666666667,-0.3,0.06666666666666667
1743695567.5049005,48.0,-34.0,283.0,,3.882,7.687,4.521,9.367682383048027,13.730891775093772,-0.920944597592884,0.0,-0.1,0.06666666666666667
1743695567.7828422,51.0,-35.0,285.0,,3.686,7.834,4.599,9.312784840603761,14.079052896806818,-0.45814412229238854,0.0,-0.16666666666666666,0.03333333333333333
1743695568.0590656,53.0,-36.0,286.0,,3.49,7.923,4.482,9.256173324989163,14.261336156407122,-0.2942788815735655,0.06666666666666667,0.26666666666666666,0.06666666666666667
1743695568.348467,42.0,-44.0,281.0,,5.196,7.305,4.462,12.010598614202763,12.026869635198672,-0.7821675102435997,0.6666666666666666,1.5333333333333334,0.4
1743695568.6362672,31.0,-49.0,270.0,,6.226,6.246,4.589,13.629700981985394,9.560753671115764,-0.9276765238840214,0.6666666666666666,0.5,0.16666666666666666
1743695568.9232032,30.0,-49.0,264.0,,6.216,6.03,4.727,13.619700981985394,9.247969537198438,-0.8466867356366015,0.0,0.03333333333333333,0.06666666666666667
1743695569.211449,32.0,-50.0,266.0,,6.197,6.334,4.354,13.711895986997174,9.675536519768285,-0.99357627263685,0.26666666666666666,0.4,0.2
1743695569.5052853,36.0,-52.0,270.0,,6.383,6.256,3.854,14.113385492881942,9.806010776246284,-1.0321706499032217,0.0,0.06666666666666667,-0.0
1743695569.7965133,37.0,-50.0,271.0,,5.196,7.001,4.05,12.710895986997174,10.795892946414527,-0.9859930331432185,-0.03333333333333333,-0.4,-0.23333333333333334
1743695570.0870655,36.0,-46.0,275.0,,5.53,6.864,4.335,12.586723441322167,10.86952056572111,-1.1781260887340013,-0.23333333333333334,-0.13333333333333333,0.06666666666666667
1743695570.3855183,39.0,-35.0,297.0,,5.353,6.393,5.05,10.979784840603763,11.450144122292388,-1.1950528968068195,-0.43333333333333335,-3.0,-1.0333333333333334
1743695570.687203,32.0,-28.0,307.0,,3.627,5.746,6.816,8.232516030929588,10.336010109277606,-0.5295516665244389,0.6666666666666666,-0.5333333333333333,-0.3
1743695570.950978,19.0,-24.0,302.0,,3.471,3.049,7.561,7.4610864685736,5.9667030379292925,-0.9126249005820437,2.1,0.23333333333333334,-0.5
1743695571.2125735,-9.0,-27.0,298.0,,3.726,-1.53,10.101,8.179646802444953,-2.8973583050854637,1.4678394301631545,1.6,-0.1,-1.0
1743695571.4750433,-13.0,-23.0,300.0,,2.794,-2.648,9.277,6.627072370479776,-4.679342351038287,0.478289614066,0.06666666666666667,-0.13333333333333333,-0.13333333333333333
1743695571.7363598,-14.0,-20.0,301.0,,2.598,-2.716,9.218,5.95321760602481,-4.946129079196174,0.2734408098361385,0.1,-0.03333333333333333,-0.06666666666666667
1743695572.00086,-15.0,-17.0,303.0,,2.48,-2.677,9.238,5.348166423330047,-5.105071959738103,0.17631208182406688,0.03333333333333333,0.0,-0.0
1743695572.2620919,-15.0,-15.0,304.0,,2.441,-2.658,9.11,4.980014832455728,-5.1105,-0.04285460556267218,0.06666666666666667,0.0,0.03333333333333333
1743695572.52619,-15.0,-15.0,304.0,,2.559,-2.942,9.257,5.098014832455728,-5.394500000000001,0.10414539443732806,0.06666666666666667,0.0,-0.03333333333333333
